llm_label,keywords
"Professor ausente, inadequado, injusto","['conteudo', 'prova', 'didatica', 'sala', 'alem', 'tempo', 'avaliacao', 'falta', 'pouco', 'vezes', 'ensino', 'apenas', 'trabalho', 'passou', 'trabalhos']"
Excelente didática,"['excelente', 'bem', 'didatica', 'boa', 'otimo', 'assunto', 'bom', 'otima', 'duvidas', 'conteudo', 'dominio', 'sobre', 'explica', 'aprendizado', 'profissional']"
Metodo avaliacao positivo,"['avaliacao', 'provas', 'metodo', 'avaliacoes', 'poderia', 'correcao', 'dia', 'textual', 'corrigidas', 'incluido', 'utilizou', 'anti', 'discursivas', 'instrumentos', 'producao']"
Atencioso e solicitoso,"['atencioso', 'solicita', 'humilde', 'esforcado', 'parabens', 'pontual', 'disposto', 'ajudar', 'arbitrario', 'atensiosa', 'paz', 'estabelecido', 'solicitacoes', 'facilita', 'respondendo']"
Comentários ignorados negativos,"['comentarios', 'nada', 'xxxxxxxxxxxx', 'consta', 'comentario', 'comentar', 'chega', 'lidos', 'declarar', 'nen', 'serao', 'negativos', 'cedo', 'positivos', 'momento']"
"Bom semestre, greve impactou, disciplinas corridas, conteúdo difícil","['disciplinas', 'alguns', 'bom', 'apesar', 'greve', 'proveitoso', 'otimos', 'materias', 'apos', 'repassar', 'infelizmente', 'geral', 'dificil', 'plano', 'quase']"
Ótimos profissionais,"['profissional', 'impecaveis', 'qualifiquado', 'ok', 'divertido', 'regular', 'maravilhoso', 'presente', 'nome', 'senhor', 'maravilhosa', 'bom', 'parece', 'excelente', 'ja']"
Comentários sexuais ofensivos desnecessários,"['comentarios', 'sexo', 'desnecessarios', 'outra', 'sexual', 'ex', 'sexuais', 'abordava', 'faz', 'sobre', 'ate', 'explicar', 'delicado', 'comentando', 'ofensivos']"
Português não facilitou aprendizado,"['portugues', 'apresentou', 'influenciou', 'versa', 'vice', 'facilitou', 'portuguesa', 'concordasse', 'portugol', 'perguntava', 'ensinando', 'explicavamos', 'eprenbdizagem', 'ouvia', 'dominio']"
Explicações claras e visuais,"['explica', 'dia', 'assunto', 'clara', 'especifico', 'complexo', 'aplicado', 'calculo', 'objetivo', 'visual', 'bem', 'contexto', 'consegue', 'ensinou', 'objetiva']"
Conhecimento avançado e atualizado,"['novas', 'tecnologias', 'conhece', 'ministra', 'bastante', 'conhecer', 'antenado', 'perceber', 'senhora', 'assuntos', 'cita', 'debates', 'sobre', 'presentes', 'trouxe']"
Ritmo acelerado prejudica compreensão,"['acelerado', 'ritmo', 'rapido', 'demais', 'extenso', 'acabam', 'empecilho', 'fala', 'dificultando', 'estrangeiro', 'prejudicando', 'tendo', 'acaba', 'conta', 'devido']"
Profissional Sensacional,"['prof', 'profisional', 'sensacional', 'extraordinario', 'incrivel', 'nota', '', '', '', '', '', '', '', '', '']"
"Falta frequente, pegadinhas negativas","['pegadinhas', 'faltou', 'rei', 'aderiu', 'pequena', 'concurso', 'ocorreu', 'programa', 'termino', 'negativos', 'faltar', 'avisa', 'social', 'nome', 'erro']"
