llm_label,keywords
Excellent Professor,"['excellent', 'always', 'great', 'well', 'good', 'didactics', 'great', 'good', 'doubts', 'subject', 'explains', 'content', 'about', 'super', 'objective']"
Inefficient and Disrespectful Professor With Students,"['content', 'test', 'room', 'evaluation', 'besides', 'tests', 'passed', 'teaching', 'lack', 'little', 'only', 'assignments', 'didactics', 'time', 'times']"
Infrastructure Problems and Excessive Classes,"['schedule', 'times', 'reasons', 'some', 'time', 'many', 'too much', 'missed', 'fast', 'bus', 'night', 'work', 'many', 'punctual', 'are']"
Subject Mastery is Well Taught,"['mastery', 'subject', 'content', 'quite', 'day', 'about', 'well', 'passes', 'knowledge', 'taught', 'area', 'subjects', 'new', 'contextualized', 'great']"
Extremely Disorganized Didactics,"['didactics', 'little', 'excellent', 'uncompromising', 'pretends', 'didactic', 'disorganized', 'terrible', 'points', 'extremely', 'knows', 'quite', 'unrealistic', 'right', 'explosive']"
Complicated Semester due to Lack of Communication and Strike,"['disciplines', 'some', 'good', 'difficulties', 'despite', 'strike', 'profitable', 'honestly', 'great', 'subjects', 'pass on', 'after', 'time', 'general', 'unfortunately']"
Inadequate Evaluation Method,"['evaluation', 'evaluations', 'could', 'correction', 'clear', 'corrected', 'included', 'discursive', 'method', 'con']"
Willing and Attentive Professor,"['always', 'attentive', 'willing', 'solicitous', 'humble', 'hardworking', 'congratulations', 'helpful', 'help', 'well', 'understood', 'engaged', 'disciplined', 'highly', 'arbitrary']"
Dissatisfaction with Absence of Information,"['nothing', 'joined', 'recorded', 'declare', 'arrives', 'nor', 'occurred', 'early', 'error', 'social', 'name', 'moment', 'evaluate', 'did', 'grade']"
Very Fun and Impeccable Class,"['professional', 'ok', 'impeccable', 'qualified', 'fun', 'xxxxxxxxxxxx', 'regular', 'wonderful', 'wonderful', 'present', 'objective', 'name', 'sir', 'good', 'horrible']"
Unnecessary and Offensive Comments,"['comments', 'offensive', 'comment', 'read', 'comment', 'will be', 'positive', 'negative', 'unnecessary', 'never', 'other', 'so much', 'nothing', 'hour', '']"
Didactics Needs Improvement,"['improve', 'needs', 'leave', 'didactics', 'experience', 'interest', 'love', 'attract', 'gain', 'field', 'way', 'interesting', 'evolve', 'make an effort', 'content-focused']"
Unnecessary Sexual Comments in the Classroom,"['sex', 'comments', 'sexual', 'ex', 'sexual', 'unnecessary', 'discussed', 'does', 'about', 'abuse', 'about', 'certain', 'approach', 'demanding', 'individual']"
Professor Inefficient in Didactics and Content,"['slides', 'portuguese', 'complete', 'tasks', 'mastery', 'we explained', 'influenced', 'portugol', 'transport', 'portuguese', 'send', 'we would spend', 'delivered', 'correct', 'asked']"
