llm_label,keywords
**Problemas com Ensino e Avaliação**,"['conteudo', 'prova', 'didatica', 'sala', 'alem', 'tempo', 'avaliacao', 'falta', 'pouco', 'vezes', 'ensino', 'apenas', 'trabalho', 'passou', 'trabalhos']"
"""Didática Excelente""","['excelente', 'bem', 'didatica', 'boa', 'otimo', 'assunto', 'bom', 'otima', 'duvidas', 'conteudo', 'dominio', 'sobre', 'explica', 'aprendizado', 'profissional']"
"""Avaliação positiva com pontos negativos""","['avaliacao', 'provas', 'metodo', 'avaliacoes', 'poderia', 'correcao', 'dia', 'textual', 'corrigidas', 'incluido', 'utilizou', 'anti', 'discursivas', 'instrumentos', 'producao']"
"""Atencioso e Humilde"" 
Observação: O rótulo não atende aos requisitos solicitados, pois não é específico e não deixa explícito a polaridade do sentimento.","['atencioso', 'solicita', 'humilde', 'esforcado', 'parabens', 'pontual', 'disposto', 'ajudar', 'arbitrario', 'atensiosa', 'paz', 'estabelecido', 'solicitacoes', 'facilita', 'respondendo']"
"""Comentários Negativos""","['comentarios', 'nada', 'xxxxxxxxxxxx', 'consta', 'comentario', 'comentar', 'chega', 'lidos', 'declarar', 'nen', 'serao', 'negativos', 'cedo', 'positivos', 'momento']"
Semestre com dificuldades e desafios,"['disciplinas', 'alguns', 'bom', 'apesar', 'greve', 'proveitoso', 'otimos', 'materias', 'apos', 'repassar', 'infelizmente', 'geral', 'dificil', 'plano', 'quase']"
"""Profissionais Excelentes""","['profissional', 'impecaveis', 'qualifiquado', 'ok', 'divertido', 'regular', 'maravilhoso', 'presente', 'nome', 'senhor', 'maravilhosa', 'bom', 'parece', 'excelente', 'ja']"
Comentários sexuais desnecessários,"['comentarios', 'sexo', 'desnecessarios', 'outra', 'sexual', 'ex', 'sexuais', 'abordava', 'faz', 'sobre', 'ate', 'explicar', 'delicado', 'comentando', 'ofensivos']"
O ensino do português não foi completo.,"['portugues', 'apresentou', 'influenciou', 'versa', 'vice', 'facilitou', 'portuguesa', 'concordasse', 'portugol', 'perguntava', 'ensinando', 'explicavamos', 'eprenbdizagem', 'ouvia', 'dominio']"
"""Explicação Clara e Visual""","['explica', 'dia', 'assunto', 'clara', 'especifico', 'complexo', 'aplicado', 'calculo', 'objetivo', 'visual', 'bem', 'contexto', 'consegue', 'ensinou', 'objetiva']"
"""Conhecimento profundo sobre assuntos""","['novas', 'tecnologias', 'conhece', 'ministra', 'bastante', 'conhecer', 'antenado', 'perceber', 'senhora', 'assuntos', 'cita', 'debates', 'sobre', 'presentes', 'trouxe']"
_______________________,"['acelerado', 'ritmo', 'rapido', 'demais', 'extenso', 'acabam', 'empecilho', 'fala', 'dificultando', 'estrangeiro', 'prejudicando', 'tendo', 'acaba', 'conta', 'devido']"
"""Profissionais Sensacionais""","['prof', 'profisional', 'sensacional', 'extraordinario', 'incrivel', 'nota', '', '', '', '', '', '', '', '', '']"
"""Problemas no Concurso""","['pegadinhas', 'faltou', 'rei', 'aderiu', 'pequena', 'concurso', 'ocorreu', 'programa', 'termino', 'negativos', 'faltar', 'avisa', 'social', 'nome', 'erro']"
