llm_label,keywords
Professor Excelente,"['excelente', 'sempre', 'otimo', 'bem', 'boa', 'didatica', 'otima', 'bom', 'duvidas', 'assunto', 'explica', 'conteudo', 'sobre', 'super', 'objetiva']"
Professor Ineficiente e Desrespeitoso Com Alunos,"['conteudo', 'prova', 'sala', 'avaliacao', 'alem', 'provas', 'passou', 'ensino', 'falta', 'pouco', 'apenas', 'trabalhos', 'didatica', 'tempo', 'vezes']"
Problemas de Infraestrutura e Aulas Demasiadas,"['horario', 'vezes', 'motivos', 'alguns', 'tempo', 'muitas', 'demais', 'faltou', 'rapido', 'onibus', 'noite', 'trabalho', 'muitos', 'pontual', 'sao']"
Domínio do Assunto é Bem Ministrado, "['dominio', 'assunto', 'conteudo', 'bastante', 'dia', 'sobre', 'bem', 'passa', 'conhecimento', 'ministrado', 'area', 'assuntos', 'novas', 'contextualizadas', 'otimas']"
Didática Extremamente Desorganizada,"['didatica', 'pouco', 'excelente', 'intransigente', 'finge', 'didatico', 'desorganizado', 'pessima', 'pontos', 'extremamente', 'sabe', 'bastante', 'irreais', 'ne', 'explosivo']"
Semestre Complicado por Falta de Comunicação e Greve,"['disciplinas', 'alguns', 'bom', 'dificuldades', 'apesar', 'greve', 'proveitoso', 'sinceramente', 'otimos', 'materias', 'repassar', 'apos', 'vez', 'geral', 'infelizmente']"
Metodo de Avaliação Inadequado,"['avaliacao', 'avaliacoes', 'poderia', 'correcao', 'claro', 'corrigidas', 'incluido', 'discursivas', 'metodo', 'con']"
Professor Bem Disposto e Atencioso,"['sempre', 'atencioso', 'disposto', 'solicita', 'humilde', 'esforcado', 'parabens', 'prestativo', 'ajudar', 'bem', 'entenderam', 'engajado', 'disciplinado', 'autamente', 'arbitrario']"
Descontentamento com Ausência de Informações, "['nada', 'aderiu', 'consta', 'declarar', 'chega', 'nen', 'ocorreu', 'cedo', 'erro', 'social', 'nome', 'momento', 'avaliar', 'fez', 'nota']"
Aula Muito Divertida e Impecavel,"['profissional', 'ok', 'impecaveis', 'qualifiquado', 'divertido', 'xxxxxxxxxxxx', 'regular', 'maravilhoso', 'maravilhosa', 'presente', 'objetivo', 'nome', 'senhor', 'bom', 'horrivel']"
Comentários Desnecessários e Ofensivos, "['comentarios', 'ofensivos', 'comentario', 'lidos', 'comentar', 'serao', 'positivos', 'negativos', 'desnecessarios', 'nunca', 'outra', 'tanto', 'nada', 'hora', '']"
Didática Precisa de Melhoria,"['melhorar', 'precisa', 'deixar', 'didatica', 'experiencia', 'interesse', 'amor', 'atrair', 'ganhe', 'ramo', 'jeito', 'interresante', 'evolua', 'exforcou', 'conteudista']"
Comentários Sexuais Desnecessários em Sala de Aula,"['sexo', 'comentarios', 'sexuais', 'ex', 'sexual', 'desnecessarios', 'abordava', 'faz', 'sobre', 'abuso', 'acerca', 'certos', 'aproximacao', 'exigindo', 'individuo']"
Professor Ineficiente em Didática e Conteúdo,"['slides', 'portugues', 'completo', 'tarefas', 'dominio', 'explicavamos', 'influenciou', 'portugol', 'transporte', 'portuguesa', 'mandar', 'gastariamos', 'entregava', 'correta', 'perguntava']"
