llm_label,keywords
Didática Excelente,"['excelente', 'didatica', 'bem', 'boa', 'otimo', 'bom', 'duvidas', 'otima', 'assunto', 'conteudo', 'explica', 'sobre', 'melhor', 'aprendizado', 'clara']"
**Aulas sem conteúdo**,"['conteudo', 'prova', 'didatica', 'tempo', 'sala', 'vezes', 'falta', 'alem', 'ensino', 'passou', 'pouco', 'apenas', 'assunto', 'ainda', 'acompanhar']"
"""Avaliação de Provas e Desenvolvimento de Aplicativos""","['avaliacao', 'provas', 'avaliacoes', 'metodo', 'bem', 'poderia', 'eno', 'desenvolvimento', 'papel', 'final', 'formas', 'correcao', 'notas', 'trabalho', 'producao']"
"""Dominio de Conteúdo""","['dominio', 'assunto', 'dia', 'sobre', 'sabe', 'conhecimento', 'area', 'novas', 'bem', 'conteudo', 'tecnologias', 'conhece', 'bastante', 'explica', 'conhecimentos']"
Semestre com dificuldades e problemas,"['disciplinas', 'alguns', 'dificuldades', 'apesar', 'geral', 'cirurgia', 'pegadinhas', 'defeito', 'greve', 'proveitoso', 'bom', 'sinceramente', 'faltou', 'final', 'primeira']"
"""Excelente Profissional""","['profissional', 'impecaveis', 'qualifiquado', 'divertido', 'ok', 'regular', 'maravilhoso', 'bom', 'senhor', 'nome', 'maravilhosa', 'presente', 'horrivel', 'parece', 'excelente']"
"""Nada a Declarar""","['nada', 'aderiu', 'ocorreu', 'nen', 'declarar', 'consta', 'nome', 'social', 'erro', 'momento', 'avaliar', 'fez', 'nota', 'deixou', 'melhor']"
_______________,"['cedo', 'horario', 'atrasos', 'pontual', 'horarios', 'cumpre', 'alguns', 'demais', 'aberto', 'descontraido', 'arrogante', 'chega', 'arbitrario', 'chuvoso', 'facilita']"
"""Comentários não lidos""","['comentarios', 'serao', 'lidos', 'comentario', 'comentar', 'positivos', 'negativos', 'nunca', 'nada', '', '', '', '', '', '']"
Ausência por motivos de saúde e pessoais.,"['frequentei', 'motivos', 'itens', 'tranco', 'comparecer', 'questionario', 'habilitado', 'particulares', 'saude', 'assistir', 'ausente', 'ultimo', 'motivo', 'conseguir', 'dois']"
"""Problemas com slides e tarefas""","['tarefas', 'slides', 'vice', 'correta', 'explicavamos', 'influenciou', 'versa', 'perguntava', 'portugol', 'entregava', 'portuguesa', 'trazia', 'dominio', 'portugues', 'python']"
"""Problemas com a Avaliação""","['sigaa', 'br', 'sair', 'idioma', 'pq', 'disse', 'transporte', 'reconheceram', 'introdiscente', 'cultura', 'secretaria', 'reprovados', 'mandar', 'quiser', 'revisao']"
"""Muito dedicado e humilde""","['humilde', 'esforcado', 'parabens', 'saudades', 'embasado', 'solicito', 'solicita', 'querido', 'deixar', 'vai', 'dedicado', '', '', '', '']"
